stock_id,name,industry,market_cap,price,roic_3y,roic_latest,by_year
7822,倍利科,半導體業,41824814400.0,918.0,57.01,57.01,"{""2025"": 57.0}"
1519,華城,電機機械,228381818400.0,723.0,49.46,44.07,"{""2021"": 6.3, ""2022"": 17.2, ""2023"": 46.6, ""2024"": 57.7, ""2025"": 44.1}"
2404,漢唐,其他電子業,202021902000.0,1060.0,48.21,54.97,"{""2021"": 28.8, ""2022"": 41.0, ""2023"": 43.0, ""2024"": 46.6, ""2025"": 55.0}"
2345,智邦,通信網路業,1141874926500.0,2035.0,43.64,55.83,"{""2021"": 29.2, ""2022"": 41.3, ""2023"": 36.6, ""2024"": 38.5, ""2025"": 55.8}"
6139,亞翔,其他電子業,179508683400.0,762.0,42.55,52.59,"{""2021"": 3.5, ""2022"": 13.3, ""2023"": 33.0, ""2024"": 42.1, ""2025"": 52.6}"
6409,旭隼,電子工業,87812332000.0,995.0,38.84,34.09,"{""2021"": 42.7, ""2022"": 59.6, ""2023"": 39.7, ""2024"": 42.8, ""2025"": 34.1}"
6691,洋基工程,其他電子業,72041909600.0,593.0,36.61,43.0,"{""2021"": 20.8, ""2022"": 35.2, ""2023"": 32.7, ""2024"": 34.2, ""2025"": 43.0}"
3017,奇鋐,電子工業,1124635695000.0,2865.0,34.78,50.02,"{""2021"": 20.0, ""2022"": 23.1, ""2023"": 23.5, ""2024"": 30.8, ""2025"": 50.0}"
3443,創意,半導體業,750466640000.0,5600.0,34.53,31.14,"{""2021"": 30.0, ""2022"": 55.7, ""2023"": 39.5, ""2024"": 32.9, ""2025"": 31.1}"
8454,富邦媒,貿易百貨,66376312650.0,250.5,33.76,30.44,"{""2021"": 41.7, ""2022"": 37.0, ""2023"": 36.5, ""2024"": 34.4, ""2025"": 30.4}"
6944,兆聯實業,綠能環保,54295033200.0,708.0,33.72,36.36,"{""2024"": 31.1, ""2025"": 36.4}"
2707,晶華,觀光事業,23314785600.0,183.0,32.14,33.15,"{""2021"": 54.8, ""2022"": 22.1, ""2023"": 34.2, ""2024"": 29.1, ""2025"": 33.1}"
6669,緯穎,電子工業,1168789284000.0,6255.0,30.52,38.9,"{""2021"": 26.1, ""2022"": 33.3, ""2023"": 24.4, ""2024"": 28.3, ""2025"": 38.9}"
2207,和泰車,汽車工業,288579250400.0,518.0,30.12,25.09,"{""2021"": 26.6, ""2022"": -23.7, ""2023"": 37.1, ""2024"": 28.2, ""2025"": 25.1}"
3034,聯詠,半導體業,322511095000.0,530.0,29.78,24.1,"{""2021"": 70.4, ""2022"": 41.1, ""2023"": 35.1, ""2024"": 30.1, ""2025"": 24.1}"
2059,川湖,電子工業,1275551683500.0,13385.0,28.88,39.11,"{""2021"": 17.0, ""2022"": 27.4, ""2023"": 16.0, ""2024"": 31.5, ""2025"": 39.1}"
2912,統一超,貿易百貨,232355584050.0,223.5,27.2,23.24,"{""2021"": 27.8, ""2022"": 30.7, ""2023"": 31.2, ""2024"": 27.2, ""2025"": 23.2}"
7750,新代,電機機械,159132245000.0,2215.0,26.99,27.4,"{""2024"": 26.6, ""2025"": 27.4}"
2379,瑞昱,半導體業,368075996400.0,714.0,26.39,28.06,"{""2021"": 48.6, ""2022"": 36.7, ""2023"": 19.7, ""2024"": 31.4, ""2025"": 28.1}"
1477,聚陽,紡織纖維,50078821100.0,203.0,26.29,25.58,"{""2021"": 22.4, ""2022"": 24.2, ""2023"": 25.9, ""2024"": 27.4, ""2025"": 25.6}"
2360,致茂,其他電子業,893015970000.0,2100.0,26.0,38.36,"{""2021"": 22.4, ""2022"": 24.6, ""2023"": 18.0, ""2024"": 21.6, ""2025"": 38.4}"
8464,億豐,其他,108857004300.0,371.5,25.31,23.69,"{""2021"": 33.9, ""2022"": 31.2, ""2023"": 24.9, ""2024"": 27.4, ""2025"": 23.7}"
3653,健策,電子工業,791623456000.0,5395.0,25.05,28.47,"{""2021"": 13.7, ""2022"": 27.5, ""2023"": 20.7, ""2024"": 26.0, ""2025"": 28.5}"
6805,富世達,電子工業,120997633500.0,1765.0,25.02,33.37,"{""2021"": 20.6, ""2023"": 17.5, ""2024"": 24.2, ""2025"": 33.4}"
2383,台光電,電子工業,2035263848000.0,5680.0,24.91,28.56,"{""2021"": 29.1, ""2022"": 21.7, ""2023"": 19.9, ""2024"": 26.3, ""2025"": 28.6}"
2330,台積電,半導體業,62497011941000.0,2410.0,24.85,29.67,"{""2021"": 24.4, ""2022"": 31.0, ""2023"": 20.5, ""2024"": 24.4, ""2025"": 29.7}"
2382,廣達,電子工業,1241834709100.0,321.5,24.82,26.43,"{""2021"": 19.1, ""2022"": 16.6, ""2023"": 22.1, ""2024"": 25.9, ""2025"": 26.4}"
2454,聯發科,半導體業,6078763566000.0,3790.0,24.58,26.62,"{""2021"": 27.8, ""2022"": 27.2, ""2023"": 19.1, ""2024"": 28.0, ""2025"": 26.6}"
3533,嘉澤,電子工業,179492846500.0,1595.0,24.06,21.19,"{""2021"": 22.5, ""2022"": 31.3, ""2023"": 22.1, ""2024"": 28.9, ""2025"": 21.2}"
2458,義隆,半導體業,42695196200.0,140.5,23.28,21.44,"{""2021"": 50.8, ""2022"": 20.7, ""2023"": 21.8, ""2024"": 26.5, ""2025"": 21.4}"
8210,勤誠,電子工業,118301324800.0,944.0,23.01,33.18,"{""2021"": 13.2, ""2022"": 14.7, ""2023"": 14.0, ""2024"": 21.8, ""2025"": 33.2}"
2368,金像電,電子零組件業,498950355000.0,965.0,22.85,26.98,"{""2021"": 22.2, ""2022"": 28.6, ""2023"": 17.9, ""2024"": 23.6, ""2025"": 27.0}"
6197,佳必琪,電子工業,35465953950.0,290.5,22.24,19.92,"{""2021"": 12.8, ""2022"": 14.7, ""2023"": 20.6, ""2024"": 26.2, ""2025"": 19.9}"
3023,信邦,電子工業,76461976500.0,318.5,22.17,19.67,"{""2021"": 22.5, ""2022"": 24.2, ""2023"": 22.6, ""2024"": 24.3, ""2025"": 19.7}"
2385,群光,電子工業,81166447200.0,106.0,22.01,16.86,"{""2021"": 26.0, ""2022"": 27.3, ""2023"": 24.1, ""2024"": 25.1, ""2025"": 16.9}"
3030,德律,其他電子業,67321560000.0,285.0,21.77,27.72,"{""2021"": 20.1, ""2022"": 28.8, ""2023"": 13.9, ""2024"": 23.7, ""2025"": 27.7}"
6515,穎崴,半導體業,233246720000.0,6400.0,21.61,27.58,"{""2021"": 20.5, ""2022"": 33.2, ""2023"": 12.3, ""2024"": 24.9, ""2025"": 27.6}"
7769,鴻勁,半導體業,1152451650000.0,6405.0,21.3,21.3,"{""2025"": 21.3}"
6442,光聖,通信網路業,122686555000.0,1525.0,21.29,25.71,"{""2021"": 5.3, ""2022"": 15.4, ""2023"": 7.5, ""2024"": 30.6, ""2025"": 25.7}"
2421,建準,電子工業,40889477250.0,142.5,21.23,24.2,"{""2021"": 8.6, ""2022"": 21.0, ""2023"": 20.6, ""2024"": 18.9, ""2025"": 24.2}"
1476,儒鴻,紡織纖維,87248737800.0,318.0,21.11,18.84,"{""2021"": 24.6, ""2022"": 28.4, ""2023"": 20.2, ""2024"": 24.3, ""2025"": 18.8}"
2472,立隆電,電子工業,35912251800.0,218.0,20.86,22.81,"{""2021"": 23.0, ""2022"": 24.6, ""2023"": 17.4, ""2024"": 22.4, ""2025"": 22.8}"
2493,揚博,電子工業,22379582250.0,176.5,20.82,17.22,"{""2021"": 14.3, ""2022"": 22.8, ""2023"": 23.3, ""2024"": 21.9, ""2025"": 17.2}"
3617,碩天,其他電子業,24591777000.0,259.5,20.75,13.41,"{""2021"": -0.9, ""2022"": 21.3, ""2023"": 22.2, ""2024"": 26.7, ""2025"": 13.4}"
6472,保瑞,生技醫療業,58122337000.0,455.0,20.69,11.21,"{""2021"": 19.2, ""2022"": 22.0, ""2023"": 30.2, ""2024"": 20.7, ""2025"": 11.2}"
8081,致新,半導體業,22146229700.0,257.0,20.58,19.4,"{""2021"": 43.1, ""2022"": 31.3, ""2023"": 21.5, ""2024"": 20.8, ""2025"": 19.4}"
1808,潤隆,建材營造,33042172900.0,37.0,20.56,5.56,"{""2021"": 11.9, ""2022"": 1.0, ""2023"": 45.4, ""2024"": 10.7, ""2025"": 5.6}"
8016,矽創,半導體業,35560522400.0,296.0,20.49,18.46,"{""2021"": 76.9, ""2022"": 36.5, ""2023"": 21.6, ""2024"": 21.5, ""2025"": 18.5}"
2395,研華,電子工業,563497170500.0,649.0,20.27,19.69,"{""2021"": 23.0, ""2022"": 26.3, ""2023"": 23.4, ""2024"": 17.8, ""2025"": 19.7}"
3231,緯創,電子工業,558099178650.0,175.5,20.19,25.78,"{""2021"": 14.2, ""2022"": 16.7, ""2023"": 14.8, ""2024"": 20.0, ""2025"": 25.8}"
1718,中纖,化學工業,18039190990.0,10.7,19.46,23.15,"{""2021"": 13.9, ""2022"": 9.8, ""2023"": 12.9, ""2024"": 22.3, ""2025"": 23.1}"
3661,世芯-KY,半導體業,318957390000.0,3700.0,19.27,13.95,"{""2021"": 20.9, ""2022"": 15.7, ""2023"": 21.4, ""2024"": 22.4, ""2025"": 13.9}"
3005,神基,電子工業,73074713400.0,117.0,18.98,20.05,"{""2021"": 22.3, ""2022"": 13.0, ""2023"": 17.9, ""2024"": 19.0, ""2025"": 20.0}"
5434,崇越,電子工業,99526104000.0,513.0,18.9,19.38,"{""2021"": 19.6, ""2022"": 23.1, ""2023"": 18.0, ""2024"": 19.3, ""2025"": 19.4}"
6414,樺漢,電子工業,59769425000.0,395.0,18.44,21.27,"{""2021"": 13.1, ""2022"": 35.3, ""2023"": 17.4, ""2024"": 16.6, ""2025"": 21.3}"
3583,辛耘,半導體業,58860524800.0,704.0,18.1,18.77,"{""2021"": 14.1, ""2022"": 16.9, ""2023"": 17.2, ""2024"": 18.4, ""2025"": 18.8}"
2308,台達電,電子工業,4545700775000.0,1750.0,17.81,22.23,"{""2021"": 14.8, ""2022"": 17.2, ""2023"": 16.1, ""2024"": 15.0, ""2025"": 22.2}"
